,Burundi,"China, Taiwan Province of",Mozambique,Croatia,Myanmar,Burkina Faso,Philippines,Syrian Arab Republic,Brazil,United Republic of Tanzania,Thailand,Ethiopia,Kenya,Maldives,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Malawi,Melanesia,Papua New Guinea,Eritrea,New Caledonia,Rwanda,Australia & New Zealand,Yugoslav SFR,Guatemala,Algeria,Slovenia,United Arab Emirates,Senegal,Madagascar,Tajikistan,Haiti,Ukraine,Guinea,Botswana,Saudi Arabia,Fiji,Chad,Lesotho,Sri Lanka,Uruguay,Azerbaijan,Egypt,Mauritania,China,Uzbekistan,Colombia,Lebanon,Kyrgyzstan,Micronesia (Federated States of),Occupied Palestinian Territory,Guinea-Bissau,Kazakhstan,South Africa,Hungary,France,Togo,Micronesia,"China, mainland",Russian Federation,Nicaragua,Uganda,Costa Rica,Bolivia (Plurinational State of),Peru,Yemen,Serbia and Montenegro,Gambia,Cameroon,Serbia,Cuba,Sudan (former),Dominican Republic,South Sudan,Namibia,Benin,Pakistan,Japan,Pacific Islands Trust Territory,Iraq,Turkmenistan,Venezuela (Bolivarian Republic of),Spain,Belize,Bulgaria,United States of America,Bangladesh,Zambia,Democratic Republic of the Congo,Sudan,Somalia,Czechoslovakia,Nigeria,Czechia,Argentina,Paraguay,Democratic People's Republic of Korea,India,El Salvador,Austria,Niger,Morocco,Ethiopia PDR,Republic of Korea,Mexico,USSR,Romania,Ecuador,Honduras,Jordan,Israel,Viet Nam,Tunisia,Côte d'Ivoire,Mali,Albania,Slovakia,Italy,Central African Republic,Sierra Leone,Australia,Panama,Ghana,Netherlands,Oman,Angola,Swaziland,Republic of Moldova,Turkey
1961,20000.0,4407.0,168000.0,-1.0,-1.0,410725.0,-1.0,-1.0,5.0,180000.0,20000.0,-1.0,164000.0,6.0,-1.0,8775.0,64400.0,40000.0,231.0,131.0,-1.0,80.0,100525.0,163187.0,21000.0,16000.0,1539.0,-1,-1.0,75900.0,3000.0,-1.0,183000.0,-1.0,25000.0,61000.0,150000.0,20.0,398000.0,55000.0,1305.0,10.0,-1.0,681000.0,80500.0,6304407.0,-1.0,4300.0,1600.0,-1.0,-1.0,-1.0,3000.0,-1.0,335022.0,4070.0,18990.0,-1.0,18.0,6300000.0,-1.0,49963.0,276000.0,6500.0,-1.0,2060.0,700000.0,-1.0,6900.0,255000.0,-1.0,27400.0,1433600.0,1000.0,-1.0,3000.0,61200.0,248000.0,1630.0,18.0,5177.0,-1,-1.0,519.0,-1.0,5953.0,12198000.0,1016.0,40000.0,28000.0,-1.0,135000.0,118.0,3958000.0,-1,1476700.0,3800.0,32000.0,8029000.0,84430.0,-1.0,275440.0,50000.0,793000.0,5302.0,290641.0,60000.0,4000.0,-1.0,46873.0,7289.0,34300.0,-1,2078.0,8000.0,352000.0,9536.0,-1.0,12000.0,20000.0,11685.0,163187.0,-1.0,100000.0,-1,-1.0,-1.0,16000.0,-1.0,-1.0
1962,19000.0,4174.0,172000.0,-1.0,-1.0,508343.0,-1.0,-1.0,5.0,175000.0,20000.0,-1.0,180000.0,7.0,-1.0,8523.0,65000.0,45000.0,227.0,127.0,-1.0,80.0,167769.0,254759.0,15000.0,16000.0,2000.0,-1,-1.0,79100.0,3000.0,-1.0,183500.0,-1.0,28000.0,10000.0,165000.0,20.0,365000.0,55000.0,1466.0,15.0,-1.0,658849.0,82300.0,6104174.0,-1.0,7600.0,1300.0,-1.0,-1.0,-1.0,3000.0,-1.0,181164.0,7728.0,25465.0,-1.0,27.0,6100000.0,-1.0,49090.0,278000.0,10000.0,-1.0,2180.0,725000.0,-1.0,6900.0,247000.0,-1.0,27100.0,1266220.0,3000.0,-1.0,2000.0,55355.0,251000.0,1380.0,27.0,3600.0,-1,-1.0,508.0,-1.0,4222.0,12962000.0,1016.0,41000.0,25000.0,-1.0,133000.0,110.0,4499000.0,-1,1597600.0,3500.0,36000.0,9748000.0,88300.0,-1.0,320375.0,83000.0,810000.0,6280.0,295920.0,60000.0,9200.0,-1.0,50190.0,4787.0,43400.0,-1,3667.0,11000.0,369000.0,8203.0,-1.0,17840.0,39000.0,11685.0,254759.0,-1.0,105000.0,-1,-1.0,-1.0,10000.0,-1.0,-1.0
1963,20000.0,2421.0,174000.0,-1.0,-1.0,460000.0,-1.0,-1.0,5.0,178000.0,20000.0,-1.0,186000.0,8.0,-1.0,16157.0,55000.0,50000.0,255.0,155.0,-1.0,80.0,126959.0,279008.0,18000.0,24000.0,1829.0,-1,-1.0,89100.0,3000.0,-1.0,184000.0,-1.0,20000.0,12000.0,170000.0,20.0,498000.0,55000.0,1136.0,150.0,-1.0,729000.0,83200.0,7002421.0,-1.0,12100.0,900.0,-1.0,-1.0,-1.0,3000.0,-1.0,272000.0,9742.0,63092.0,-1.0,10.0,7000000.0,-1.0,41200.0,281000.0,6700.0,-1.0,2100.0,750000.0,-1.0,6900.0,263000.0,-1.0,25000.0,1348400.0,5000.0,-1.0,2000.0,63000.0,238000.0,1160.0,10.0,4527.0,-1,-1.0,1370.0,-1.0,3581.0,14870000.0,1016.0,41000.0,26000.0,-1.0,128000.0,181.0,4060000.0,-1,1175800.0,3000.0,34000.0,9198000.0,91300.0,-1.0,352000.0,107000.0,829000.0,5933.0,402183.0,65000.0,9800.0,-1.0,51709.0,2345.0,40300.0,-1,4500.0,10000.0,327000.0,6353.0,-1.0,23610.0,39000.0,11700.0,279008.0,-1.0,108870.0,-1,-1.0,-1.0,7000.0,-1.0,-1.0
1964,21000.0,2493.0,178000.0,-1.0,-1.0,460000.0,-1.0,-1.0,5.0,135258.0,20000.0,-1.0,190000.0,9.0,-1.0,10899.0,55000.0,55000.0,295.0,175.0,-1.0,80.0,147231.0,214699.0,15000.0,27200.0,1409.0,-1,-1.0,99200.0,2950.0,-1.0,185000.0,-1.0,25000.0,10000.0,175000.0,40.0,395000.0,55000.0,808.0,1500.0,-1.0,739640.0,83200.0,7702493.0,-1.0,60000.0,1400.0,-1.0,-1.0,-1.0,3000.0,-1.0,257000.0,13443.0,61796.0,-1.0,10.0,7700000.0,-1.0,47131.0,271000.0,11100.0,-1.0,2140.0,760000.0,-1.0,6900.0,263000.0,-1.0,15000.0,1137748.0,6000.0,-1.0,3000.0,56612.0,293000.0,920.0,10.0,7360.0,-1,2195.0,50900.0,-1.0,6782.0,12441000.0,1016.0,43000.0,26000.0,-1.0,127000.0,1069.0,4230000.0,-1,1486500.0,3680.0,33000.0,9683000.0,87743.0,-1.0,315425.0,76000.0,853300.0,7817.0,525554.0,86000.0,18300.0,-1.0,53134.0,8174.0,79500.0,-1,6000.0,10000.0,281000.0,18408.0,-1.0,25190.0,42000.0,11390.0,214699.0,-1.0,115017.0,-1,-1.0,-1.0,3000.0,-1.0,-1.0
1965,22000.0,6511.0,181000.0,-1.0,-1.0,495000.0,-1.0,-1.0,20.0,149124.0,73000.0,-1.0,163000.0,10.0,-1.0,5661.0,52000.0,55000.0,411.0,281.0,-1.0,80.0,130000.0,194968.0,12000.0,43600.0,1273.0,-1,-1.0,103100.0,2700.0,-1.0,187000.0,-1.0,25000.0,9000.0,175000.0,50.0,341000.0,54000.0,1382.0,16211.0,-1.0,806000.0,92500.0,7106511.0,-1.0,70000.0,2240.0,-1.0,-1.0,-1.0,3000.0,-1.0,414000.0,3171.0,83060.0,-1.0,10.0,7100000.0,-1.0,46400.0,272000.0,6500.0,-1.0,4016.0,760000.0,-1.0,6600.0,247000.0,-1.0,15000.0,1094427.0,7000.0,-1.0,3200.0,58984.0,274000.0,656.0,10.0,7084.0,-1,3665.0,42800.0,-1.0,13255.0,17087008.0,1016.0,44000.0,24021.0,-1.0,125000.0,1881.0,4235000.0,-1,1058500.0,3800.0,34000.0,7581000.0,105611.0,-1.0,265600.0,52000.0,867700.0,7497.0,746994.0,61000.0,7200.0,-1.0,53398.0,6665.0,67000.0,-1,5500.0,11000.0,306000.0,10572.0,-1.0,20910.0,39000.0,11500.0,194968.0,-1.0,90428.0,-1,-1.0,-1.0,2631.0,-1.0,-1.0
1966,24000.0,7518.0,184000.0,-1.0,-1.0,540000.0,-1.0,-1.0,2000.0,161072.0,135000.0,-1.0,231000.0,11.0,-1.0,5136.0,100000.0,60000.0,415.0,265.0,-1.0,80.0,143900.0,194564.0,13900.0,34200.0,790.0,-1,-1.0,78300.0,3100.0,-1.0,187300.0,-1.0,25000.0,18000.0,180000.0,70.0,350000.0,53800.0,1295.0,15276.0,-1.0,859078.0,83200.0,9007518.0,-1.0,60000.0,1412.0,-1.0,-1.0,-1.0,4500.0,-1.0,314000.0,3870.0,135840.0,-1.0,10.0,9000000.0,-1.0,48900.0,271000.0,9800.0,-1.0,3408.0,675000.0,-1.0,5900.0,293000.0,-1.0,11000.0,851000.0,8000.0,-1.0,3400.0,48738.0,277000.0,400.0,10.0,8059.0,-1,10559.0,39800.0,-1.0,68033.0,18161520.0,711.0,47000.0,24863.0,-1.0,130000.0,1585.0,3160000.0,-1,2385900.0,3900.0,34000.0,9224000.0,114680.0,-1.0,277082.0,36000.0,887000.0,7738.0,1410971.0,58000.0,5100.0,-1.0,47941.0,2000.0,13150.0,-1,5000.0,11000.0,325000.0,21064.0,-1.0,21630.0,34000.0,10000.0,194564.0,-1.0,127500.0,-1,-1.0,-1.0,2540.0,-1.0,-1.0
1967,21000.0,9540.0,188000.0,-1.0,-1.0,604000.0,-1.0,-1.0,2000.0,143627.0,50000.0,-1.0,239000.0,4.0,-1.0,8093.0,195011.0,60000.0,950.0,350.0,-1.0,80.0,145200.0,318769.0,26500.0,31900.0,1361.0,-1,-1.0,121200.0,3100.0,-1.0,188000.0,-1.0,25000.0,57145.0,190000.0,520.0,360000.0,55000.0,1019.0,27678.0,-1.0,880727.0,83200.0,9009540.0,-1.0,90000.0,1180.0,-1.0,-1.0,-1.0,4300.0,-1.0,728000.0,2371.0,143990.0,-1.0,10.0,9000000.0,-1.0,51700.0,268000.0,9100.0,-1.0,3512.0,665000.0,-1.0,6300.0,224000.0,-1.0,8500.0,1980000.0,8000.0,-1.0,3600.0,57774.0,291000.0,400.0,10.0,9125.0,-1,15768.0,44098.0,-1.0,52589.0,19186496.0,610.0,48000.0,26351.0,-1.0,135000.0,3146.0,3389000.0,-1,1617500.0,4100.0,35000.0,10048200.0,108100.0,-1.0,342162.0,58000.0,922100.0,6439.0,1666619.0,50000.0,1491.0,-1.0,41267.0,-1.0,23850.0,-1,5000.0,11500.0,364000.0,18817.0,-1.0,20240.0,33000.0,8500.0,318769.0,-1.0,97642.0,-1,-1.0,-1.0,1814.0,-1.0,-1.0
1968,22000.0,6615.0,191130.0,-1.0,-1.0,529674.0,-1.0,157.0,2000.0,163314.0,63000.0,-1.0,220000.0,4.0,-1.0,5146.0,38095.0,70000.0,1406.0,436.0,-1.0,80.0,122550.0,287994.0,34900.0,41800.0,2434.0,-1,-1.0,83300.0,3100.0,-1.0,189000.0,-1.0,25000.0,10400.0,190000.0,890.0,368000.0,49983.0,653.0,29651.0,-1.0,907000.0,87900.0,8506615.0,-1.0,100000.0,355.0,-1.0,-1.0,-1.0,4000.0,-1.0,199000.0,1923.0,198340.0,-1.0,10.0,8500000.0,-1.0,55700.0,254000.0,9800.0,-1.0,1593.0,650000.0,-1.0,6700.0,205000.0,-1.0,6500.0,869000.0,10000.0,-1.0,3800.0,58602.0,262000.0,200.0,10.0,7089.0,-1,21830.0,91128.0,-1.0,15451.0,18575168.0,508.0,48000.0,17748.0,-1.0,133000.0,4600.0,3236000.0,-1,2033300.0,6000.0,34000.0,9803600.0,124209.0,-1.0,215100.0,90900.0,800000.0,7079.0,2132619.0,58000.0,5593.0,-1.0,42860.0,226.0,20650.0,-1,5600.0,11700.0,321000.0,33372.0,-1.0,19370.0,26000.0,7500.0,287994.0,-1.0,83316.0,-1,-1.0,-1.0,2000.0,-1.0,-1.0
1969,21000.0,5940.0,206167.0,-1.0,-1.0,546879.0,-1.0,121.0,2000.0,145179.0,70000.0,-1.0,205000.0,4.0,-1.0,8852.0,147949.0,70000.0,1129.0,389.0,-1.0,100.0,125800.0,294466.0,14271.0,54079.0,3267.0,-1,-1.0,117400.0,2980.0,-1.0,209000.0,-1.0,25000.0,29800.0,170000.0,640.0,362000.0,48268.0,817.0,50613.0,-1.0,813015.0,101700.0,8005940.0,-1.0,101800.0,611.0,-1.0,-1.0,-1.0,3000.0,-1.0,199000.0,1312.0,198410.0,-1.0,10.0,8000000.0,-1.0,58300.0,331640.0,8500.0,-1.0,3062.0,635000.0,-1.0,6100.0,282000.0,-1.0,4500.0,1451000.0,12000.0,-1.0,4000.0,63458.0,283000.0,-1.0,10.0,3560.0,-1,5493.0,142030.0,-1.0,22378.0,18540672.0,508.0,50000.0,19000.0,-1.0,134000.0,3400.0,4093000.0,-1,2615500.0,6000.0,32000.0,9721000.0,128069.0,-1.0,289300.0,42700.0,1007300.0,7073.0,2455928.0,75000.0,3461.0,-1.0,44454.0,-1.0,16450.0,-1,6400.0,14100.0,388000.0,32059.0,-1.0,20640.0,31000.0,7000.0,294466.0,-1.0,82700.0,-1,-1.0,-1.0,2409.0,-1.0,-1.0
1970,20040.0,6766.0,194678.0,-1.0,-1.0,563183.0,5553.0,113.0,2000.0,171912.0,68500.0,-1.0,220000.0,4.0,-1.0,7303.0,72214.0,71700.0,1658.0,1148.0,-1.0,80.0,156020.0,547402.0,10008.0,45676.0,1696.0,-1,-1.0,74200.0,1920.0,-1.0,210000.0,-1.0,25000.0,7800.0,150000.0,430.0,339000.0,56897.0,541.0,36164.0,-1.0,874000.0,76800.0,8806766.0,-1.0,118000.0,687.0,-1.0,-1.0,-1.0,3000.0,-1.0,379000.0,1196.0,176650.0,-1.0,10.0,8800000.0,-1.0,60800.0,462000.0,11400.0,-1.0,12217.0,610000.0,-1.0,7000.0,234000.0,-1.0,3200.0,1535000.0,13600.0,-1.0,4200.0,42665.0,329000.0,-1.0,10.0,5429.0,-1,6532.0,189500.0,-1.0,8661.0,17353424.0,914.0,45000.0,25400.0,-1.0,126000.0,2300.0,4052000.0,-1,4068400.0,4800.0,29000.0,8104900.0,147186.0,-1.0,230200.0,47800.0,1036800.0,6573.0,2747210.0,54000.0,1802.0,-1.0,46047.0,-1.0,10900.0,-1,7100.0,13300.0,304000.0,31551.0,-1.0,15580.0,34000.0,6000.0,547402.0,-1.0,185900.0,-1,-1.0,-1.0,2722.0,-1.0,-1.0
